ra,st_raerr,st_rah,st_raherr,ra_str,dec,st_decerr,dec_str,st_glon,st_glonerr,st_glat,st_glaterr,st_elon,st_elonerr,st_elat,st_elaterr,st_posn,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_plxblend,st_plxn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,st_pmblend,st_pmn,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_radvn,st_uj,st_ujerr,st_ujlim,st_ujblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_vj,st_vjerr,st_vjlim,st_vjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend,st_mips1,st_mips1err,st_mips1lim,st_mips1blend,st_mips2,st_mips2err,st_mips2lim,st_mips2blend,st_mips3,st_mips3err,st_mips3lim,st_mips3blend,st_iras1,st_iras1err,st_iras1lim,st_iras1blend,st_iras2,st_iras2err,st_iras2lim,st_iras2blend,st_iras3,st_iras3err,st_iras3lim,st_iras3blend,st_iras4,st_iras4err,st_iras4lim,st_iras4blend,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_umbjblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmicblend,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_vjmrcblend,st_jmh2,st_jmh2err,st_jmh2lim,st_jmh2blend,st_hmk2,st_hmk2err,st_hmk2lim,st_hmk2blend,st_jmk2,st_jmk2err,st_jmk2lim,st_jmk2blend,st_bmy,st_bmyerr,st_bmylim,st_bmyblend,st_m1,st_m1err,st_m1lim,st_m1blend,st_c1,st_c1err,st_c1lim,st_c1blend,st_colorn,st_spstr,st_ssperr,st_splim,st_spblend,st_spn,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_teffn,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_loggn,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_metfen,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_lumn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,st_radn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_massn,st_dens,st_denserr1,st_denserr2,st_denslim,st_densblend,st_densn,st_age,st_ageerr1,st_ageerr2,st_agelim,st_ageblend,st_agen,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_vsinin,st_acts,st_actserr,st_actslim,st_actsblend,st_actsn,st_actr,st_actrerr,st_actrlim,st_actrblend,st_actrn,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,st_actlxn,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,hd_name,hip_name,swasp_id,pl_name,pl_hostname,pl_letter,pl_pnum,pl_mnum,pl_status,pl_discmethod,pl_disc,pl_publ_date,pl_rvflag,pl_imgflag,pl_astflag,pl_tranflag,pl_ttvflag,pl_kepflag,pl_cbflag,pl_omflag,pl_pelink,pl_edelink,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orbtpern,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_orblpern,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_rvampn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinin,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massn,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtn,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insoln,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepn,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_trandurn,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidn,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_impparn,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_occdepn,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratdorn,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_ratrorn,pl_st_npar,pl_st_nref,rowupdate
293.260925,0.000017,19.55072835,0.00000111,19h33m02.62s,44.868896,0.000017,+44d52m08.0s,77.482253,0.000021,11.994224,0.000018,311.463738,0.000041,64.994918,0.000020,2,,,,,,0,,,,,0,,,,,,,,,,,0,-38.70,0.10,-0.10,0,0,1,,,,,,,,,14.000,,0,0,,,,,,,,,12.631,0.019,0,0,12.284,0.019,0,0,12.234,0.026,0,0,12.168,0.022,0,0,12.231,0.021,0,1,12.206,0.248,0,1,9.406,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,0.347,0.027,0,0,0.050,0.032,0,0,0.397,0.032,0,0,,,,,,,,,,,,,5,G4 V,,0,0,1,5638.00,168.00,-168.00,0,0,3,4.40,0.15,-0.15,0,0,3,-0.290,0.150,-0.150,0,0,2,[Fe/H],-0.097,0.165,-0.140,0,0,1,0.93,0.18,-0.12,0,0,3,0.81,0.09,-0.08,0,0,1,1.3700,0.8100,-0.5500,0,0,1,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,Kepler-69 b,Kepler-69,b,2,0,3,Transit,2013,2013-05,0,0,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-69_b/,http://exoplanets.org/detail/Kepler-69_b,13.72234100,0.00003500,-0.00003600,0,1,0.094000,0.023000,-0.016000,0,1,89.620,0.260,-0.450,0,1,,,,,0,0.160000,0.170000,-0.001000,0,1,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,0,0.200,0.039,-0.026,0,2.240,0.440,-0.290,0,0.021,0.004,-0.003,0,1,,,,,0,779.00,50.00,-51.00,0,1,,,,,0,0.059700,,,0,1,,,,,0,2454970.841400,0.001600,-0.001600,0,1,BJD,0.1500,0.1700,-0.1000,0,1,,,,,0,21.800000,2.900000,-2.100000,0,1,0.02207,0.00023,-0.00018,0,1,25,0,2013-04-10
293.260925,0.000017,19.55072835,0.00000111,19h33m02.62s,44.868896,0.000017,+44d52m08.0s,77.482253,0.000021,11.994224,0.000018,311.463738,0.000041,64.994918,0.000020,2,,,,,,0,,,,,0,,,,,,,,,,,0,-38.70,0.10,-0.10,0,0,1,,,,,,,,,14.000,,0,0,,,,,,,,,12.631,0.019,0,0,12.284,0.019,0,0,12.234,0.026,0,0,12.168,0.022,0,0,12.231,0.021,0,1,12.206,0.248,0,1,9.406,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,0.347,0.027,0,0,0.050,0.032,0,0,0.397,0.032,0,0,,,,,,,,,,,,,5,G4 V,,0,0,1,5638.00,168.00,-168.00,0,0,3,4.40,0.15,-0.15,0,0,3,-0.290,0.150,-0.150,0,0,2,[Fe/H],-0.097,0.165,-0.140,0,0,1,0.93,0.18,-0.12,0,0,3,0.81,0.09,-0.08,0,0,1,1.3700,0.8100,-0.5500,0,0,1,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,Kepler-69 c,Kepler-69,c,2,0,3,Transit,2013,2013-05,0,0,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-69_c/,http://exoplanets.org/detail/Kepler-69_c,242.46130000,0.00590000,-0.00640000,0,1,0.640000,0.150000,-0.110000,0,1,89.850,0.030,-0.080,0,1,,,,,0,0.140000,0.180000,-0.100000,0,1,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,0,0.153,0.030,-0.021,0,1.710,0.340,-0.230,0,0.016,0.003,-0.002,0,1,,,,,0,299.00,19.00,-20.00,0,1,,,,,0,0.035000,,,0,1,,,,,0,2454983.870000,0.016000,-0.014000,0,1,BJD,0.1200,0.2100,-0.0900,0,1,,,,,0,148.000000,20.000000,-14.000000,0,1,0.01680,0.00052,-0.00052,0,1,25,0,2013-04-10
296.356110,0.000039,19.75707397,0.00000259,19h45m25.47s,41.092754,0.000031,+41d05m33.9s,75.161149,0.000041,8.231240,0.000040,313.052862,0.000078,60.652596,0.000039,2,,,,,0,0,1180.00,95.00,-95.00,0,1,10.700,,,2.800,,,11.100,,,,1,,,,,,0,,,,,,,,,14.870,0.020,0,0,,,,,,,,,15.356,0.045,0,0,15.593,0.135,0,0,15.495,,-1,0,15.438,0.038,0,0,15.983,0.140,0,0,12.687,,-1,0,9.173,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,-0.237,0.142,0,0,0.098,,1,0,-0.139,,1,0,,,,,,,,,,,,,5,B,,,0,1,27730.00,270.00,-270.00,0,0,2,5.52,0.03,-0.03,0,0,2,-0.106,,,0,0,1,[Fe/H],1.360,0.055,-0.063,0,0,1,0.20,0.01,-0.01,0,0,2,0.50,0.00,-0.00,0,0,1,84.1000,2.9000,-2.9000,0,0,1,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,KOI-55 b,KOI-55,b,2,0,3,Orbital Brightness Modulation,2011,2011-12,0,0,0,0,0,1,0,1,http://exoplanet.eu/catalog/kepler-70_b/,,0.24010400,0.00000400,-0.00000400,0,1,0.006000,,,0,1,65.000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,0,0.00140,,,0,0.44000,,,0,1,0.068,,,0,0.759,,,0,0.007,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,15,0,2013-10-22
296.356110,0.000039,19.75707397,0.00000259,19h45m25.47s,41.092754,0.000031,+41d05m33.9s,75.161149,0.000041,8.231240,0.000040,313.052862,0.000078,60.652596,0.000039,2,,,,,0,0,1180.00,95.00,-95.00,0,1,10.700,,,2.800,,,11.100,,,,1,,,,,,0,,,,,,,,,14.870,0.020,0,0,,,,,,,,,15.356,0.045,0,0,15.593,0.135,0,0,15.495,,-1,0,15.438,0.038,0,0,15.983,0.140,0,0,12.687,,-1,0,9.173,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,-0.237,0.142,0,0,0.098,,1,0,-0.139,,1,0,,,,,,,,,,,,,5,B,,,0,1,27730.00,270.00,-270.00,0,0,2,5.52,0.03,-0.03,0,0,2,-0.106,,,0,0,1,[Fe/H],1.360,0.055,-0.063,0,0,1,0.20,0.01,-0.01,0,0,2,0.50,0.00,-0.00,0,0,1,84.1000,2.9000,-2.9000,0,0,1,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,KOI-55 c,KOI-55,c,2,0,3,Orbital Brightness Modulation,2011,2011-12,0,0,0,0,0,1,0,1,http://exoplanet.eu/catalog/kepler-70_c/,,0.34288700,0.00001300,-0.00001300,0,1,0.007600,,,0,1,65.000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,,,,0,0.00210,,,0,0.65500,,,0,1,0.077,,,0,0.867,,,0,0.008,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,15,0,2013-10-22
294.865509,0.000019,19.65770060,0.00000130,19h39m27.72s,46.285854,0.000017,+46d17m09.1s,79.292225,0.000021,11.633378,0.000020,315.281045,0.000047,65.861308,0.000021,2,,,,,,0,800.00,,,0,1,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,13.927,0.027,0,0,13.550,0.023,0,0,13.469,0.040,0,0,13.311,0.023,0,1,13.395,0.024,0,1,13.313,,-1,0,9.671,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,0.377,0.035,0,0,0.081,0.046,0,0,0.458,0.048,0,0,,,,,,,,,,,,,5,,,,,0,5545.00,,,0,,3,4.54,,,0,0,2,0.220,,,0,0,1,[Fe/H],,,,,,0,0.86,0.02,,0,,3,0.95,0.05,,0,,1,,,,,,0,,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,KOI-217 b,KOI-217,b,1,0,3,Transit,2010,2010-12,0,0,0,1,0,1,0,0,,,3.90512000,0.00005000,-0.00005000,0,1,0.047700,0.000700,-0.000700,0,1,89.800,0.200,-0.400,0,1,,,,,0,0.000000,,,0,1,,,,,0,,,,,0,,,,,,,,,0,,,,,,,,,0,1.110,0.020,-0.020,0,12.442,0.224,-0.224,0,0.114,0.002,-0.002,0,1,,,,,0,,,,,0,,,,,0,1.756000,0.008000,-0.013000,0,1,,,,,0,2454966.414000,0.000200,-0.000200,0,1,HJD,,,,,0,,,,,0,,,,,0,,,,,0,17,0,2013-04-08
293.092529,0.000017,19.53950195,0.00000111,19h32m22.21s,41.355522,0.000017,+41d21m19.9s,74.227365,0.000021,10.521433,0.000019,308.457991,0.000037,61.746762,0.000020,2,,,,,0,0,1330.00,170.00,-170.00,0,1,-0.900,,,2.700,,,2.800,,,,1,19.37,0.01,-0.01,0,0,2,,,,,,,,,14.230,,0,0,,,,,,,,,13.306,0.024,0,0,13.008,0.025,0,0,12.958,0.033,0,0,12.859,0.024,0,0,12.890,0.025,0,0,12.897,0.491,0,0,8.880,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,0.298,0.035,0,0,0.050,0.041,0,0,0.348,0.041,0,0,,,,,,,,,,,,,5,F8 V,,0,0,2,6000.00,100.00,-100.00,0,0,4,4.44,0.01,-0.01,0,0,4,0.420,0.110,-0.110,0,0,3,[Fe/H],,,,,0,0,1.12,0.04,-0.04,0,0,4,1.18,0.04,-0.04,0,0,2,1.3000,0.0500,-0.0400,0,0,2,0.800,0.900,-0.500,0,0,0,5.0000,1.0000,-1.0000,0,0,2,,,,,0,,,,,0,,,,,0,2,0,0,2,0,3,0,,,,Kepler-74 b,Kepler-74,b,1,0,3,Transit,2013,2013-06,1,0,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-74_b/,http://exoplanets.org/detail/Kepler-74_b,7.34071100,0.00000600,-0.00000600,0,2,0.078100,0.000700,-0.000700,0,2,87.460,0.070,-0.070,0,2,,,,,1,0.000000,,,0,2,,,,,1,59.000,11.000,-11.000,0,2,,,,,,,,,0,0.63000,0.12000,-0.12000,0,200.22000,38.14000,-38.14000,0,2,0.960,0.020,-0.020,0,10.760,0.220,-0.220,0,0.099,0.002,-0.002,0,2,0.88000,0.18000,-0.18000,0,2,1078.00,19.00,-19.00,0,2,,,,,0,,,,,0,0.1284000,0.0005000,-0.0005000,0,2,2455187.567370,0.000140,-0.000140,0,2,BJD-TDB,0.6850,0.0110,-0.0110,0,2,,,,,0,15.470000,0.180000,-0.180000,0,2,0.09120,0.00090,-0.00090,0,2,49,0,2015-01-29
291.137604,0.000019,19.40917358,0.00000130,19h24m33.02s,36.577385,0.000017,+36d34m38.6s,69.199936,0.000022,9.719427,0.000021,302.752335,0.000036,57.637485,0.000020,2,,,,,0,0,1140.00,250.00,-160.00,0,1,6.000,,,2.000,,,6.300,,,,1,-64.18,0.06,-0.06,0,0,2,,,,,,,,,,,,,,,,,,,,,13.665,0.021,0,0,13.262,0.025,0,0,13.118,0.029,0,0,13.162,0.024,0,0,13.266,0.028,0,0,13.003,,-1,0,9.106,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,0.403,0.033,0,0,0.144,0.038,0,0,0.547,0.036,0,0,,,,,,,,,,,,,5,K0 V,,0,0,2,5200.00,100.00,-100.00,0,0,4,4.50,0.02,-0.02,0,0,4,0.300,0.120,-0.120,0,0,3,[Fe/H],,,,,0,0,0.89,0.02,-0.02,0,0,4,0.91,0.04,-0.04,0,0,2,1.8500,0.1100,-0.1200,0,0,2,6.200,3.500,-2.800,0,0,0,3.5000,1.5000,-1.5000,0,0,2,,,,,0,,,,,0,,,,,0,2,0,0,2,0,3,0,,,,Kepler-75 b,Kepler-75,b,1,0,3,Transit,2013,2013-06,1,0,0,1,0,1,0,0,http://exoplanet.eu/catalog/kepler-75_b/,http://exoplanets.org/detail/Kepler-75_b,8.88491160,0.00000340,-0.00000340,0,2,0.081800,0.001200,-0.001200,0,2,89.120,0.510,-0.640,0,2,,,,,1,0.570000,0.010000,-0.010000,0,2,63.5000,1.7000,-1.7000,0,2,1287.000,25.000,-25.000,0,2,,,,,,,,,0,10.10000,0.40000,-0.40000,0,3209.90000,127.10000,-127.10000,0,2,1.050,0.030,-0.030,0,11.770,0.340,-0.340,0,0.108,0.003,-0.003,0,2,11.00000,0.80000,-0.90000,0,2,767.00,16.00,-16.00,0,2,,,,,0,,,,,0,0.0866000,0.0004000,-0.0004000,0,2,2455640.440300,0.000120,-0.000120,0,2,BJD-TDB,0.1300,0.0900,-0.0800,0,2,,,,,0,19.770000,0.380000,-0.450000,0,2,0.12120,0.00090,-0.00070,0,2,50,0,2015-01-29
294.192108,0.000017,19.61280721,0.00000111,19h36m46.11s,39.619003,0.000017,+39d37m08.4s,73.055882,0.000021,8.978137,0.000019,308.914009,0.000035,59.832287,0.000020,2,,,,,,0,,,,,0,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,12.343,0.022,0,0,12.134,0.021,0,0,12.092,0.021,0,0,12.016,0.025,0,1,12.056,0.025,0,1,11.970,0.224,0,0,9.258,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,0.209,0.030,0,0,0.042,0.030,0,0,0.251,0.030,0,0,,,,,,,,,,,,,5,F,,0,0,1,6409.00,95.00,-95.00,0,0,2,4.20,0.30,-0.30,0,0,2,-0.100,0.200,-0.200,0,0,2,[m/H],,,,,,0,1.32,0.08,-0.08,0,0,2,1.20,0.20,-0.20,0,0,1,0.7350,0.0270,-0.0270,0,0,1,,,,,,0,6.5000,2.0000,-2.0000,0,0,1,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,Kepler-76 b,Kepler-76,b,1,0,3,Orbital Brightness Modulation,2013,2013-07,1,0,0,1,0,1,0,1,http://exoplanet.eu/catalog/kepler-76_b/,,1.54492875,0.00000027,-0.00000027,0,1,,,,,0,78.000,0.200,-0.200,0,1,2456126.770000,0.023000,-0.023000,0,1,0.000000,,,0,1,,,,,0,306.000,20.000,-20.000,0,1,,,,,,,,,1,2.00000,0.26000,-0.26000,0,635.63000,82.63000,-82.63000,0,1,1.250,0.080,-0.080,0,14.010,0.900,-0.900,0,0.128,0.008,-0.008,0,1,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,2454966.548110,0.000070,-0.000070,0,1,BJD,0.9440,0.0110,-0.0110,0,1,0.009890,0.000710,-0.000710,0,1,4.525000,0.062000,-0.061000,0,1,,,,,0,22,0,2013-10-22
289.607971,0.000017,19.30719808,0.00000111,19h18m25.91s,44.345425,0.000017,+44d20m43.5s,75.851871,0.000021,14.118867,0.000018,305.213128,0.000040,65.405189,0.000020,2,,,,,0,0,570.00,70.00,-70.00,0,1,,,,,,,,,,,0,-24.76,0.00,-0.00,0,0,1,,,,,,,,,,,,,,,,,,,,,12.758,0.023,0,0,12.444,0.019,0,0,12.361,0.018,0,0,12.308,0.023,0,0,12.396,0.022,0,1,12.697,0.450,0,0,9.449,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,0.314,0.030,0,0,0.083,0.026,0,0,0.397,0.029,0,0,,,,,,,,,,,,,5,G5 V,,0,0,1,5520.00,60.00,-60.00,0,0,4,4.42,0.01,-0.01,0,0,4,0.200,0.050,-0.050,0,0,3,[M/H],,,,,,1,0.99,0.02,-0.02,0,0,4,0.95,0.04,-0.04,0,0,2,1.3650,0.0230,-0.0230,0,0,2,7.500,2.000,-2.000,0,0,0,1.8000,1.0000,-1.0000,0,0,2,,,,,0,,,,,0,,,,,0,2,0,0,2,0,3,0,,,,Kepler-77 b,Kepler-77,b,1,0,3,Transit,2013,2013-09,1,0,0,1,0,1,0,1,http://exoplanet.eu/catalog/kepler-77_b/,http://exoplanets.org/detail/Kepler-77_b,3.57878087,0.00000023,-0.00000023,0,2,0.045010,0.000630,-0.000630,0,2,88.000,0.110,-0.110,0,1,,,,,0,0.000000,,,0,1,,,,,0,59.200,4.300,-4.300,0,2,,,,,,,,,0,0.43000,0.03200,-0.03200,0,136.66100,10.17000,-10.17000,0,2,0.960,0.016,-0.016,0,10.761,0.179,-0.179,0,0.099,0.002,-0.002,0,2,0.60300,0.05500,-0.05500,0,2,1440.00,100.00,-120.00,0,1,,,,,0,0.984900,0.005100,-0.005100,0,1,0.1222400,0.0001400,-0.0001400,0,1,2455095.865727,0.000029,-0.000029,0,2,HJD,0.3410,0.0170,-0.0170,0,2,,,,,0,9.764000,0.055000,-0.055000,0,1,0.09924,0.00026,-0.00026,0,2,44,0,2013-09-13
293.741699,0.000017,19.58277995,0.00000111,19h34m58.01s,44.448330,0.000017,+44d26m54.0s,77.255411,0.000021,11.499756,0.000018,311.841379,0.000040,64.477377,0.000020,2,,,,,,0,,,,,0,,,,,,,,,,,0,-3.51,0.00,-0.00,0,0,2,,,,,,,,,,,,,,,,,,,,,10.184,0.025,0,0,9.675,0.018,0,0,9.586,0.015,0,0,9.529,0.022,0,0,9.584,0.019,0,0,9.580,0.034,0,0,9.208,0.482,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,0.509,0.031,0,0,0.089,0.023,0,0,0.598,0.029,0,0,,,,,,,,,,,,,5,G,,0,0,2,5058.00,50.00,-50.00,0,0,3,4.55,0.10,-0.10,0,0,3,-0.180,0.080,-0.080,0,0,3,[M/H],,,,,,0,0.74,0.03,-0.04,0,0,3,0.76,0.05,-0.05,0,0,2,2.8000,1.1000,-0.8000,0,0,1,0.750,0.150,-0.150,0,0,0,2.4000,0.5000,-0.5000,0,0,2,,,,,0,,,,,0,,,,,0,0,0,0,0,0,3,0,,,,Kepler-78 b,Kepler-78,b,1,0,3,Transit,2013,2013-09,1,0,0,1,0,1,0,1,http://exoplanet.eu/catalog/kepler-78_b/,http://exoplanets.org/detail/Kepler-78_b,0.35500000,0.00040000,-0.00040000,0,2,,,,,0,79.000,9.000,-14.000,0,2,,,,,0,0.000000,,,0,1,,,,,0,1.960,0.320,-0.320,0,1,,,,,,,,,0,0.00600,0.00100,-0.00100,0,1.86000,0.38000,-0.25000,0,2,0.105,0.014,-0.008,0,1.173,0.159,-0.089,0,0.011,0.002,-0.001,0,2,5.57000,3.02000,-1.31000,0,1,2250.00,750.00,-750.00,0,1,,,,,0,,,,,1,,,,,1,2456465.076392,,,0,2,BJD-UTC,,,,,0,,,,,1,,,,,1,,,,,1,34,0,2013-12-09
